FARM_ID,MSRM_DT,AREA_NM,INNER_TPRT,INNER_HMDT,INNER_CBDX_CTRN,SPICES_NM_1,SPICES_NM_2,SPICES_NM_3,HOUSE_QLFMT_CONT,HOUSE_TYPE,PLANT_AR_SQM,SHPMN_QTY,SHPMN_AMT
GBE_KRMLN_002000at,2019-01-08 04:00:00,성주,17.4,94.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-08 05:00:00,성주,17.1,93.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-08 06:00:00,성주,16.8,94.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-08 07:00:00,성주,16.6,94.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-08 08:00:00,성주,16.5,95.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-08 09:00:00,성주,17.7,68.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-08 10:00:00,성주,19.8,67.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-08 11:00:00,성주,25.9,61.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-08 12:00:00,성주,22.1,72.0,765.0,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-08 13:00:00,성주,34.3,87.0,601.0,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-08 14:00:00,성주,40.6,61.0,985.0,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-08 15:00:00,성주,35.7,54.0,868.0,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-08 16:00:00,성주,27.8,58.0,813.0,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-08 17:00:00,성주,27.4,80.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-08 18:00:00,성주,25.8,80.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-08 19:00:00,성주,24.8,81.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-08 20:00:00,성주,23.7,82.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-08 21:00:00,성주,22.9,82.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-08 22:00:00,성주,22.4,83.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-08 23:00:00,성주,21.9,83.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-09 00:00:00,성주,21.5,83.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-09 01:00:00,성주,20.4,84.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-09 02:00:00,성주,20.0,84.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-09 03:00:00,성주,19.7,84.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-09 04:00:00,성주,19.3,84.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-09 05:00:00,성주,19.0,84.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-09 06:00:00,성주,18.7,84.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-09 07:00:00,성주,18.4,84.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-09 08:00:00,성주,18.2,86.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-09 09:00:00,성주,16.1,43.0,1024.0,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-09 10:00:00,성주,23.8,40.0,678.0,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-09 11:00:00,성주,29.4,38.0,575.0,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-09 12:00:00,성주,33.4,29.0,507.0,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-09 13:00:00,성주,27.4,34.0,502.0,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-09 14:00:00,성주,24.2,38.0,516.0,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-09 15:00:00,성주,22.2,39.0,523.0,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-09 16:00:00,성주,18.1,44.0,529.0,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-09 17:00:00,성주,21.0,85.0,736.0,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-09 18:00:00,성주,21.9,81.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-09 19:00:00,성주,21.6,81.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-09 20:00:00,성주,20.6,81.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-09 21:00:00,성주,20.1,81.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-09 22:00:00,성주,19.6,82.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-09 23:00:00,성주,19.4,83.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-10 00:00:00,성주,19.2,83.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-10 01:00:00,성주,19.0,83.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-10 02:00:00,성주,18.6,84.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-10 03:00:00,성주,18.5,85.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-10 04:00:00,성주,18.5,85.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-10 05:00:00,성주,18.3,85.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-10 06:00:00,성주,18.3,85.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-10 07:00:00,성주,18.2,85.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-10 08:00:00,성주,18.0,87.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-10 09:00:00,성주,13.9,50.0,,바른꿀,,,비닐,단동,19800,,
